group,feature,topk,tau,n_pos,pos_hit_rate,mean_act,median_act,p75_act,max_act
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,1767,16,0.5256367463724946,5,0.6,0.8575019836425781,0.586389422416687,1.310957431793213,2.1492342948913574
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,322,16,0.5256367463724946,5,0.0,-0.23783259093761444,-0.17916274070739746,-0.1295967698097229,-0.11443644762039185
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,1733,16,0.5256367463724946,5,0.0,0.08570365607738495,0.21913588047027588,0.21936729550361633,0.21957489848136902
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,886,16,0.5256367463724946,5,0.8,0.650026798248291,0.7033805847167969,0.8016166090965271,0.8477085828781128
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,2013,16,0.5256367463724946,5,0.8,1.4307334423065186,1.1469064950942993,2.15400767326355,2.255929708480835
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,1806,16,0.5256367463724946,5,0.2,0.3573663532733917,0.30724042654037476,0.3777865469455719,0.6171507835388184
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,460,16,0.5256367463724946,5,0.0,0.2014983594417572,0.1988953799009323,0.24833038449287415,0.3680664598941803
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,1830,16,0.5256367463724946,5,0.2,0.12299437820911407,-0.15716439485549927,0.16195259988307953,1.4632073640823364
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,253,16,0.5256367463724946,5,0.0,0.22458556294441223,0.23865017294883728,0.31693601608276367,0.3754504323005676
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,1693,16,0.5256367463724946,5,1.0,1.2037602663040161,1.2173761129379272,1.282572627067566,1.4158626794815063
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,1314,16,0.5256367463724946,5,0.8,1.3104344606399536,0.8801437616348267,1.3089693784713745,3.313781261444092
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,1023,16,0.5256367463724946,5,0.2,0.1956908255815506,0.06824646890163422,0.2736783027648926,0.6704031229019165
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,937,16,0.5256367463724946,5,0.8,0.6847507357597351,0.7390118837356567,0.7711752653121948,0.7874183058738708
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,757,16,0.5256367463724946,5,0.6,0.7215616703033447,0.6228601336479187,1.1484185457229614,1.1659449338912964
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,430,16,0.5256367463724946,5,1.0,10.985940933227539,11.338004112243652,11.515609741210938,12.779072761535645
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,853,16,0.5256367463724946,5,1.0,2.7400054931640625,2.4773032665252686,2.8189845085144043,4.104509353637695
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,983,16,0.5256367463724946,5,1.0,3.6781890392303467,3.702927350997925,3.7884247303009033,3.82059907913208
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,1936,16,0.5256367463724946,5,0.0,0.1606149673461914,0.19872696697711945,0.2660330832004547,0.30159178376197815
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,1258,16,0.5256367463724946,5,0.0,0.22110417485237122,0.1949094533920288,0.356697142124176,0.4410489797592163
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,631,16,0.5256367463724946,5,1.0,1.1736423969268799,1.067226767539978,1.3139970302581787,1.5643664598464966
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,861,16,0.5256367463724946,5,0.8,0.8560779690742493,1.1291996240615845,1.1794220209121704,1.2174783945083618
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,808,16,0.5256367463724946,5,0.0,-0.09750261157751083,-0.11586225032806396,0.023486733436584473,0.12130092084407806
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,744,16,0.5256367463724946,5,0.2,0.5349451303482056,0.22143326699733734,0.4396432638168335,1.8237700462341309
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,305,16,0.5256367463724946,5,0.2,0.1803673952817917,0.16430246829986572,0.4296770393848419,0.6655686497688293
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,1099,16,0.5256367463724946,5,0.2,0.3000108301639557,0.16290712356567383,0.28350621461868286,0.7436752319335938
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,1730,16,0.5256367463724946,5,0.6,1.2624175548553467,1.6145496368408203,2.021958589553833,2.112922191619873
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,300,16,0.5256367463724946,5,0.4,0.5329688191413879,0.5037379860877991,0.7331672310829163,1.446966290473938
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,1478,16,0.5256367463724946,5,0.0,0.08475472778081894,0.12103644013404846,0.14738662540912628,0.19150467216968536
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,748,16,0.5256367463724946,5,1.0,1.3426376581192017,1.490798830986023,1.5177276134490967,1.6865195035934448
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,145,16,0.5256367463724946,5,1.0,1.5930211544036865,1.3924251794815063,1.7789818048477173,3.009033203125
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,1934,16,0.5256367463724946,5,0.6,0.6494666934013367,0.6511762142181396,0.692540168762207,1.0800602436065674
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,1507,16,0.5256367463724946,5,1.0,1.7078735828399658,1.7844057083129883,2.0386853218078613,2.203770637512207
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,9,16,0.5256367463724946,5,0.4,0.5263559818267822,0.36335447430610657,0.5734832286834717,1.3351317644119263
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,142,16,0.5256367463724946,5,0.4,0.7257832884788513,-0.17070706188678741,2.2310898303985596,2.479184865951538
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,1234,16,0.5256367463724946,5,0.6,1.131494164466858,0.5519529581069946,1.9315139055252075,2.2950665950775146
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,1266,16,0.5256367463724946,5,0.0,-0.37604662775993347,-0.33680638670921326,-0.30721762776374817,-0.24599206447601318
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,869,16,0.5256367463724946,5,0.8,1.4360361099243164,1.3368655443191528,1.4847296476364136,2.8686678409576416
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,1527,16,0.5256367463724946,5,1.0,2.484900712966919,2.393033742904663,2.7259511947631836,2.8381359577178955
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,1505,16,0.5256367463724946,5,0.0,0.39293041825294495,0.43854424357414246,0.4998764395713806,0.5241789817810059
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,2035,16,0.5256367463724946,5,0.0,-0.47122421860694885,-0.45405080914497375,-0.4282219111919403,-0.42358312010765076
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,776,16,0.5256367463724946,5,0.2,0.27211493253707886,0.12520205974578857,0.4441637396812439,0.7171487212181091
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,29,16,0.5256367463724946,5,1.0,1.6238548755645752,1.6245901584625244,1.6664705276489258,1.8446542024612427
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,690,16,0.5256367463724946,5,0.0,0.11866774410009384,0.16028845310211182,0.3037273585796356,0.36845529079437256
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,951,16,0.5256367463724946,5,1.0,1.4374483823776245,1.5607054233551025,1.7738018035888672,1.8689725399017334
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,1199,16,0.5256367463724946,5,0.6,2.1492486000061035,2.627106189727783,3.71278715133667,3.816528081893921
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,1152,16,0.5256367463724946,5,1.0,7.107755184173584,7.104725360870361,7.141989707946777,7.334140300750732
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,1502,16,0.5256367463724946,5,0.0,-0.11903846263885498,-0.12927019596099854,-0.09003651142120361,0.15978875756263733
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,1294,16,0.5256367463724946,5,1.0,4.113165378570557,4.195436954498291,4.3472747802734375,4.69840145111084
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,1175,16,0.5256367463724946,5,1.0,1.1989697217941284,0.9225459694862366,1.3060046434402466,2.636606216430664
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,1007,16,0.5256367463724946,5,0.0,-0.10096172243356705,-0.10241133719682693,-0.06802262365818024,0.0019444585777819157
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,909,16,0.5256367463724946,5,0.0,0.08050588518381119,0.197069451212883,0.20530283451080322,0.2770225405693054
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,1841,16,0.5256367463724946,5,1.0,1.3230702877044678,1.3788702487945557,1.4909214973449707,1.840247631072998
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,1973,16,0.5256367463724946,5,1.0,3.9656949043273926,3.8999900817871094,4.2608442306518555,4.661869525909424
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,431,16,0.5256367463724946,5,1.0,2.4567008018493652,2.3930602073669434,2.799388885498047,3.031804084777832
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,788,16,0.5256367463724946,5,0.0,0.013841906562447548,0.09970232844352722,0.2919798791408539,0.3879917860031128
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,628,16,0.5256367463724946,5,1.0,1.2536370754241943,0.9088146090507507,1.3641363382339478,2.809779644012451
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,626,16,0.5256367463724946,5,0.4,0.692947268486023,0.2335871160030365,1.296921730041504,2.1246960163116455
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,372,16,0.5256367463724946,5,0.2,0.1412789672613144,0.09764367341995239,0.1773662269115448,0.6023579239845276
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,696,16,0.5256367463724946,5,0.4,0.4785000681877136,0.3663121163845062,0.6096046566963196,0.8213674426078796
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,1190,16,0.5256367463724946,5,0.8,1.1318187713623047,0.7682883739471436,1.389927625656128,2.806755304336548
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,858,16,0.5256367463724946,5,0.0,0.4603494703769684,0.44339489936828613,0.49688559770584106,0.5195944309234619
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,452,16,0.5256367463724946,5,0.0,0.1839204579591751,0.16869789361953735,0.20511236786842346,0.21486805379390717
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,99,16,0.5256367463724946,5,0.4,0.596885621547699,0.46031492948532104,0.6706157326698303,1.0824131965637207
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,1176,16,0.5256367463724946,5,0.6,0.8218296766281128,0.6311356425285339,1.3535716533660889,2.5150434970855713
bsae_512_2048_512__Er1_Dr2_k16_ep16_20251130-080037__k16,1094,16,0.5256367463724946,5,0.2,0.4832872450351715,0.09981773048639297,0.20821137726306915,2.1523241996765137
