group,feature,topk,tau,n_pos,pos_hit_rate,mean_act,median_act,p75_act,max_act
bsae_512_2048_512__Er1_Dr1_k16_ep16_20251129-233024__k16,765,16,0.6320332729816439,5,1.0,5.003831386566162,5.127222061157227,5.281905651092529,6.406717777252197
bsae_512_2048_512__Er1_Dr1_k16_ep16_20251129-233024__k16,1204,16,0.6320332729816439,5,0.4,0.6916635632514954,0.5075203776359558,1.0164995193481445,1.417252540588379
bsae_512_2048_512__Er1_Dr1_k16_ep16_20251129-233024__k16,888,16,0.6320332729816439,5,1.0,3.921006441116333,3.877445936203003,4.220426559448242,4.290968894958496
bsae_512_2048_512__Er1_Dr1_k16_ep16_20251129-233024__k16,2006,16,0.6320332729816439,5,0.8,0.6556980013847351,0.8027384877204895,0.802741289138794,0.803296685218811
bsae_512_2048_512__Er1_Dr1_k16_ep16_20251129-233024__k16,1842,16,0.6320332729816439,5,1.0,2.0661046504974365,1.564375400543213,2.683187961578369,3.9229836463928223
bsae_512_2048_512__Er1_Dr1_k16_ep16_20251129-233024__k16,1990,16,0.6320332729816439,5,1.0,1.4879628419876099,1.5388336181640625,1.634730577468872,1.635619878768921
bsae_512_2048_512__Er1_Dr1_k16_ep16_20251129-233024__k16,1000,16,0.6320332729816439,5,0.0,-0.5392926931381226,-0.48389339447021484,-0.45255494117736816,-0.42851734161376953
bsae_512_2048_512__Er1_Dr1_k16_ep16_20251129-233024__k16,1875,16,0.6320332729816439,5,0.0,0.008726519532501698,0.08303886651992798,0.13304021954536438,0.33434921503067017
bsae_512_2048_512__Er1_Dr1_k16_ep16_20251129-233024__k16,1028,16,0.6320332729816439,5,0.0,-0.25956565141677856,-0.044909439980983734,0.02800614759325981,0.09057043492794037
bsae_512_2048_512__Er1_Dr1_k16_ep16_20251129-233024__k16,487,16,0.6320332729816439,5,0.0,0.31353995203971863,0.3457406461238861,0.4356471300125122,0.5355187058448792
bsae_512_2048_512__Er1_Dr1_k16_ep16_20251129-233024__k16,1484,16,0.6320332729816439,5,0.2,0.512663722038269,0.2945079803466797,0.5708053112030029,1.2395710945129395
bsae_512_2048_512__Er1_Dr1_k16_ep16_20251129-233024__k16,1424,16,0.6320332729816439,5,0.6,0.8647817373275757,0.8821475505828857,1.0501645803451538,2.4220798015594482
bsae_512_2048_512__Er1_Dr1_k16_ep16_20251129-233024__k16,1432,16,0.6320332729816439,5,1.0,8.913578987121582,8.775217056274414,9.224903106689453,9.406558990478516
bsae_512_2048_512__Er1_Dr1_k16_ep16_20251129-233024__k16,490,16,0.6320332729816439,5,0.4,0.8534004092216492,0.1124589741230011,1.3513178825378418,3.3395495414733887
bsae_512_2048_512__Er1_Dr1_k16_ep16_20251129-233024__k16,1418,16,0.6320332729816439,5,0.6,0.8546274900436401,1.1514595746994019,1.2246133089065552,1.652302622795105
bsae_512_2048_512__Er1_Dr1_k16_ep16_20251129-233024__k16,431,16,0.6320332729816439,5,0.2,-0.06381683051586151,-0.4092981815338135,0.5494436025619507,1.0061992406845093
bsae_512_2048_512__Er1_Dr1_k16_ep16_20251129-233024__k16,1455,16,0.6320332729816439,5,1.0,1.7382320165634155,1.4274628162384033,1.996639609336853,2.7406420707702637
bsae_512_2048_512__Er1_Dr1_k16_ep16_20251129-233024__k16,1889,16,0.6320332729816439,5,0.2,1.0123037099838257,0.38246068358421326,0.46715688705444336,3.805210590362549
bsae_512_2048_512__Er1_Dr1_k16_ep16_20251129-233024__k16,1091,16,0.6320332729816439,5,0.2,0.32958656549453735,0.34533950686454773,0.5076594948768616,0.851069450378418
bsae_512_2048_512__Er1_Dr1_k16_ep16_20251129-233024__k16,575,16,0.6320332729816439,5,1.0,1.904827356338501,1.9064464569091797,2.1385984420776367,2.3125181198120117
bsae_512_2048_512__Er1_Dr1_k16_ep16_20251129-233024__k16,1024,16,0.6320332729816439,5,1.0,6.081899166107178,5.74160623550415,6.656057357788086,6.779273509979248
bsae_512_2048_512__Er1_Dr1_k16_ep16_20251129-233024__k16,952,16,0.6320332729816439,5,1.0,1.6839077472686768,1.5396467447280884,1.769921064376831,2.6603689193725586
bsae_512_2048_512__Er1_Dr1_k16_ep16_20251129-233024__k16,171,16,0.6320332729816439,5,0.4,0.48884502053260803,0.19734719395637512,1.0285449028015137,2.285569429397583
bsae_512_2048_512__Er1_Dr1_k16_ep16_20251129-233024__k16,201,16,0.6320332729816439,5,0.8,0.8269863128662109,0.8922977447509766,1.230073094367981,1.3547612428665161
bsae_512_2048_512__Er1_Dr1_k16_ep16_20251129-233024__k16,34,16,0.6320332729816439,5,0.8,0.7294745445251465,0.7566478252410889,0.8641233444213867,0.9722112417221069
bsae_512_2048_512__Er1_Dr1_k16_ep16_20251129-233024__k16,724,16,0.6320332729816439,5,1.0,2.9398765563964844,2.2124271392822266,3.8197600841522217,4.930394172668457
bsae_512_2048_512__Er1_Dr1_k16_ep16_20251129-233024__k16,1593,16,0.6320332729816439,5,0.2,0.6129434704780579,0.36450913548469543,0.6212527751922607,1.4613714218139648
bsae_512_2048_512__Er1_Dr1_k16_ep16_20251129-233024__k16,966,16,0.6320332729816439,5,0.2,0.5543336868286133,0.40532761812210083,0.5732254385948181,1.3806098699569702
