group,feature,topk,tau,n_pos,pos_hit_rate,mean_act,median_act,p75_act,max_act
bsae_512_2048_512__Er1_Dr0_k16_ep16_20251129-152503__k16,1604,16,0.7162800719908305,5,0.0,0.02194615639746189,-0.01493540033698082,0.3740750551223755,0.6141756772994995
bsae_512_2048_512__Er1_Dr0_k16_ep16_20251129-152503__k16,994,16,0.7162800719908305,5,0.0,0.3558498024940491,0.34842395782470703,0.36334729194641113,0.5042816400527954
bsae_512_2048_512__Er1_Dr0_k16_ep16_20251129-152503__k16,1010,16,0.7162800719908305,5,1.0,2.1850624084472656,2.236081123352051,2.2754781246185303,2.4194114208221436
bsae_512_2048_512__Er1_Dr0_k16_ep16_20251129-152503__k16,1672,16,0.7162800719908305,5,0.4,0.7748018503189087,0.6832383275032043,0.7265790104866028,1.9241364002227783
bsae_512_2048_512__Er1_Dr0_k16_ep16_20251129-152503__k16,460,16,0.7162800719908305,5,0.0,0.04283411055803299,-0.04743419587612152,0.10004463791847229,0.4210869371891022
bsae_512_2048_512__Er1_Dr0_k16_ep16_20251129-152503__k16,953,16,0.7162800719908305,5,0.4,0.6515135169029236,0.44161471724510193,1.2778003215789795,1.4783284664154053
bsae_512_2048_512__Er1_Dr0_k16_ep16_20251129-152503__k16,1938,16,0.7162800719908305,5,0.0,0.22385570406913757,0.2316039502620697,0.35277315974235535,0.3640238046646118
bsae_512_2048_512__Er1_Dr0_k16_ep16_20251129-152503__k16,854,16,0.7162800719908305,5,0.2,0.28937453031539917,0.06562989205121994,0.5298497080802917,1.0365111827850342
bsae_512_2048_512__Er1_Dr0_k16_ep16_20251129-152503__k16,531,16,0.7162800719908305,5,0.4,0.5336686372756958,0.29254454374313354,0.9853484034538269,1.34002685546875
bsae_512_2048_512__Er1_Dr0_k16_ep16_20251129-152503__k16,839,16,0.7162800719908305,5,0.4,0.46452170610427856,0.5111808776855469,0.7279139757156372,1.3531787395477295
bsae_512_2048_512__Er1_Dr0_k16_ep16_20251129-152503__k16,1799,16,0.7162800719908305,5,0.0,0.21332061290740967,0.08721505105495453,0.46608978509902954,0.6378366947174072
bsae_512_2048_512__Er1_Dr0_k16_ep16_20251129-152503__k16,1701,16,0.7162800719908305,5,1.0,2.8597731590270996,3.208242416381836,3.4810824394226074,4.218267440795898
bsae_512_2048_512__Er1_Dr0_k16_ep16_20251129-152503__k16,1935,16,0.7162800719908305,5,1.0,1.543891191482544,1.5298646688461304,1.7718011140823364,2.0215976238250732
bsae_512_2048_512__Er1_Dr0_k16_ep16_20251129-152503__k16,462,16,0.7162800719908305,5,0.8,1.0787744522094727,1.1504745483398438,1.3057363033294678,1.4398137331008911
bsae_512_2048_512__Er1_Dr0_k16_ep16_20251129-152503__k16,1092,16,0.7162800719908305,5,0.0,-0.0034089654218405485,0.0525367297232151,0.1370636224746704,0.24091489613056183
bsae_512_2048_512__Er1_Dr0_k16_ep16_20251129-152503__k16,98,16,0.7162800719908305,5,1.0,0.982872486114502,0.8676767349243164,0.9723795652389526,1.4567195177078247
bsae_512_2048_512__Er1_Dr0_k16_ep16_20251129-152503__k16,408,16,0.7162800719908305,5,0.6,1.312349796295166,1.318003535270691,1.3278939723968506,2.7399399280548096
bsae_512_2048_512__Er1_Dr0_k16_ep16_20251129-152503__k16,194,16,0.7162800719908305,5,0.4,0.8521741628646851,0.7099134922027588,1.1251912117004395,1.1379884481430054
bsae_512_2048_512__Er1_Dr0_k16_ep16_20251129-152503__k16,202,16,0.7162800719908305,5,0.6,1.1220805644989014,1.4203834533691406,1.4652259349822998,1.6023402214050293
