group,feature,topk,tau,n_pos,pos_hit_rate,mean_act,median_act,p75_act,max_act
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,195,16,0.6544575662272316,5,1.0,3.6607117652893066,3.6736631393432617,3.724771022796631,3.9592084884643555
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,323,16,0.6544575662272316,5,0.4,0.5155414342880249,-0.15181969106197357,1.2845524549484253,1.8143322467803955
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,1618,16,0.6544575662272316,5,1.0,2.2861835956573486,2.0171432495117188,3.0459983348846436,3.0912435054779053
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,590,16,0.6544575662272316,5,1.0,2.545071601867676,2.5301990509033203,2.5587339401245117,2.9657158851623535
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,691,16,0.6544575662272316,5,1.0,2.3488574028015137,2.1909728050231934,2.2661471366882324,4.326440334320068
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,106,16,0.6544575662272316,5,1.0,2.5306105613708496,2.457179307937622,3.044528007507324,3.5266590118408203
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,567,16,0.6544575662272316,5,0.2,0.7162855267524719,0.5259268283843994,0.6483939290046692,1.4818509817123413
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,750,16,0.6544575662272316,5,0.8,2.3001770973205566,2.978738307952881,3.0054073333740234,3.4821832180023193
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,508,16,0.6544575662272316,5,1.0,3.1675209999084473,3.016655445098877,3.14796781539917,4.239533424377441
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,1480,16,0.6544575662272316,5,0.2,0.45126113295555115,0.5629135370254517,0.6463862061500549,0.8078884482383728
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,632,16,0.6544575662272316,5,1.0,1.5804998874664307,1.6128414869308472,1.6391969919204712,1.7856842279434204
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,1449,16,0.6544575662272316,5,0.6,1.5162632465362549,1.0818719863891602,1.3397760391235352,4.173051357269287
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,380,16,0.6544575662272316,5,0.0,-0.4625006318092346,-0.3239150941371918,-0.3180934190750122,-0.2510024309158325
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,908,16,0.6544575662272316,5,1.0,4.678000450134277,4.683602333068848,4.7650957107543945,5.190099239349365
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,1985,16,0.6544575662272316,5,1.0,2.4356579780578613,2.690645933151245,2.7078499794006348,2.8050777912139893
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,932,16,0.6544575662272316,5,1.0,8.54734992980957,8.543130874633789,8.991567611694336,9.42984390258789
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,1047,16,0.6544575662272316,5,1.0,3.1455607414245605,3.0971627235412598,3.1501376628875732,3.378267765045166
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,834,16,0.6544575662272316,5,1.0,1.8217506408691406,1.107440710067749,2.312164306640625,3.774393320083618
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,1367,16,0.6544575662272316,5,0.4,1.3897491693496704,0.6223670244216919,2.285325050354004,3.3078367710113525
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,1181,16,0.6544575662272316,5,1.0,2.174816131591797,2.164250135421753,2.3616209030151367,3.032224655151367
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,828,16,0.6544575662272316,5,0.0,0.0607253797352314,0.14908762276172638,0.3228549361228943,0.35122644901275635
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,1424,16,0.6544575662272316,5,0.2,0.5793277025222778,0.5954103469848633,0.6364513039588928,0.6553410887718201
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,778,16,0.6544575662272316,5,0.2,0.31301143765449524,0.29655545949935913,0.3819425404071808,0.8941431045532227
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,869,16,0.6544575662272316,5,0.0,-0.01371750794351101,-0.014825090765953064,0.3677683174610138,0.4091089069843292
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,1022,16,0.6544575662272316,5,1.0,1.4281587600708008,1.2623445987701416,1.8965206146240234,2.1046290397644043
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,1910,16,0.6544575662272316,5,0.2,0.6146756410598755,0.23709401488304138,0.4853056073188782,2.2387571334838867
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,1861,16,0.6544575662272316,5,0.4,0.5772342681884766,0.5674759149551392,0.6573956608772278,0.6897216439247131
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,1003,16,0.6544575662272316,5,1.0,2.011327028274536,2.0585439205169678,2.1548666954040527,2.1687235832214355
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,667,16,0.6544575662272316,5,0.6,0.7493037581443787,0.808559775352478,0.8119180798530579,1.9654850959777832
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,505,16,0.6544575662272316,5,0.2,0.3984535336494446,0.2977457046508789,0.3886837959289551,0.9674758911132812
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,94,16,0.6544575662272316,5,0.4,0.6587940454483032,0.41653841733932495,1.4637292623519897,1.6433117389678955
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,1323,16,0.6544575662272316,5,0.4,0.4975303113460541,0.3523770570755005,0.7877299189567566,0.8038488030433655
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,390,16,0.6544575662272316,5,1.0,3.4169464111328125,3.3940269947052,3.507793426513672,3.6250200271606445
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,1895,16,0.6544575662272316,5,0.4,0.7122178077697754,0.4229140877723694,1.7123427391052246,2.096867084503174
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,1085,16,0.6544575662272316,5,0.4,1.380972146987915,0.5289149284362793,1.0814793109893799,4.724207878112793
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,1650,16,0.6544575662272316,5,0.0,0.05181293934583664,-0.05820092558860779,0.02544456720352173,0.42432868480682373
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,1320,16,0.6544575662272316,5,1.0,1.662402868270874,1.6948765516281128,1.7284507751464844,1.7345999479293823
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,764,16,0.6544575662272316,5,0.4,0.4889822006225586,0.42937710881233215,0.7221029996871948,1.5349148511886597
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,269,16,0.6544575662272316,5,0.8,2.107839822769165,1.6992123126983643,3.576972484588623,4.023872375488281
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,1364,16,0.6544575662272316,5,1.0,2.7030272483825684,2.618946075439453,3.192556142807007,3.2694015502929688
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,522,16,0.6544575662272316,5,1.0,3.9109864234924316,3.8809103965759277,3.970700740814209,4.156696319580078
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,1378,16,0.6544575662272316,5,0.4,0.5594597458839417,0.5915555357933044,0.6600974202156067,0.9352607131004333
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,796,16,0.6544575662272316,5,0.0,0.01694098673760891,-0.02465750277042389,0.11384221911430359,0.4588600993156433
bsae_512_2048_512__Er2_Dr1_k16_ep16_20251130-025537__k16,1829,16,0.6544575662272316,5,0.6,0.9860445261001587,0.7127387523651123,0.7683722376823425,2.9344606399536133
