group,feature,topk,tau,n_pos,pos_hit_rate,mean_act,median_act,p75_act,max_act
bsae_512_2048_512__Er0_Dr0_k16_ep16_20251129-040858__k16,1485,16,0.709734662941524,5,0.8,1.1558712720870972,1.0887129306793213,1.5449260473251343,2.8239712715148926
bsae_512_2048_512__Er0_Dr0_k16_ep16_20251129-040858__k16,766,16,0.709734662941524,5,1.0,2.808314085006714,2.8081459999084473,3.119885206222534,3.140432834625244
bsae_512_2048_512__Er0_Dr0_k16_ep16_20251129-040858__k16,38,16,0.709734662941524,5,0.0,-0.027245163917541504,-0.21078544855117798,0.18055076897144318,0.6564035415649414
bsae_512_2048_512__Er0_Dr0_k16_ep16_20251129-040858__k16,935,16,0.709734662941524,5,0.4,0.7653119564056396,0.5463709235191345,0.715714693069458,1.5813350677490234
bsae_512_2048_512__Er0_Dr0_k16_ep16_20251129-040858__k16,1051,16,0.709734662941524,5,0.4,0.4748324751853943,0.2027718424797058,0.9066658616065979,1.1306949853897095
bsae_512_2048_512__Er0_Dr0_k16_ep16_20251129-040858__k16,594,16,0.709734662941524,5,1.0,2.560102939605713,2.634174108505249,2.663748025894165,2.6906373500823975
bsae_512_2048_512__Er0_Dr0_k16_ep16_20251129-040858__k16,1663,16,0.709734662941524,5,0.0,-0.22951793670654297,-0.1464737057685852,-0.10953488200902939,0.08828935027122498
bsae_512_2048_512__Er0_Dr0_k16_ep16_20251129-040858__k16,205,16,0.709734662941524,5,0.8,1.0861707925796509,0.9937968254089355,1.3507083654403687,1.6322298049926758
bsae_512_2048_512__Er0_Dr0_k16_ep16_20251129-040858__k16,923,16,0.709734662941524,5,0.4,1.9709594249725342,0.32817068696022034,1.5343341827392578,8.570503234863281
bsae_512_2048_512__Er0_Dr0_k16_ep16_20251129-040858__k16,1204,16,0.709734662941524,5,0.0,-0.15227320790290833,-0.28544414043426514,0.2162565290927887,0.6493597626686096
bsae_512_2048_512__Er0_Dr0_k16_ep16_20251129-040858__k16,244,16,0.709734662941524,5,0.4,0.5265254378318787,0.540192723274231,0.9562237858772278,1.0038549900054932
bsae_512_2048_512__Er0_Dr0_k16_ep16_20251129-040858__k16,1642,16,0.709734662941524,5,1.0,1.293555498123169,1.266106128692627,1.3930714130401611,1.921990990638733
