group,feature,topk,tau,n_pos,pos_hit_rate,mean_act,median_act,p75_act,max_act
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,1703,16,0.5698634564876559,5,1.0,6.769886016845703,6.777895927429199,6.921727180480957,7.123159885406494
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,1901,16,0.5698634564876559,5,1.0,2.644118070602417,3.0617077350616455,3.132155179977417,3.4496331214904785
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,1519,16,0.5698634564876559,5,0.0,-0.20400452613830566,-0.2652314305305481,-0.063264399766922,-0.03715305030345917
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,2008,16,0.5698634564876559,5,1.0,2.1518123149871826,2.181612253189087,2.3013057708740234,2.500499725341797
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,278,16,0.5698634564876559,5,0.2,0.6066232919692993,0.31522154808044434,0.44831007719039917,2.0413293838500977
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,156,16,0.5698634564876559,5,0.4,0.4435088634490967,0.25560057163238525,0.6635396480560303,1.2286045551300049
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,789,16,0.5698634564876559,5,1.0,1.3108458518981934,1.3169517517089844,1.5164967775344849,1.669723629951477
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,1739,16,0.5698634564876559,5,0.0,0.2248794585466385,0.2458820790052414,0.24613569676876068,0.38725659251213074
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,436,16,0.5698634564876559,5,0.8,1.2896175384521484,1.398301601409912,1.8709074258804321,1.9786655902862549
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,806,16,0.5698634564876559,5,0.0,0.1860422044992447,0.06679088622331619,0.2682589292526245,0.5339995622634888
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,1649,16,0.5698634564876559,5,1.0,2.575857162475586,2.4370946884155273,2.4420886039733887,3.636124849319458
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,895,16,0.5698634564876559,5,0.4,0.5426451563835144,0.5112751126289368,0.7871050834655762,0.8170475363731384
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,772,16,0.5698634564876559,5,0.8,1.149021029472351,0.7445639371871948,0.8460932970046997,3.4573378562927246
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,1637,16,0.5698634564876559,5,0.0,0.11689194291830063,0.062320590019226074,0.3180786669254303,0.3681737184524536
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,1828,16,0.5698634564876559,5,0.6,0.48934563994407654,0.5977160930633545,0.7397111058235168,0.8316899538040161
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,299,16,0.5698634564876559,5,0.4,0.46687930822372437,0.41593652963638306,0.6325210332870483,0.8514819145202637
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,773,16,0.5698634564876559,5,1.0,2.41434907913208,2.510104179382324,2.557663917541504,3.0132250785827637
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,871,16,0.5698634564876559,5,0.6,2.0699069499969482,1.9150079488754272,3.8895039558410645,4.1816534996032715
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,997,16,0.5698634564876559,5,0.8,0.7737612724304199,0.6077941656112671,1.0390841960906982,1.1099344491958618
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,1599,16,0.5698634564876559,5,1.0,12.963101387023926,12.849063873291016,12.85863971710205,15.10489559173584
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,2028,16,0.5698634564876559,5,0.2,0.710034966468811,0.2618236541748047,0.30096814036369324,2.8980870246887207
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,1296,16,0.5698634564876559,5,0.2,0.34926173090934753,0.29467442631721497,0.35011017322540283,0.8311163187026978
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,262,16,0.5698634564876559,5,0.4,0.4070335328578949,0.47548967599868774,0.6311264634132385,0.6651625633239746
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,708,16,0.5698634564876559,5,0.0,0.0541568286716938,0.0181337371468544,0.300891250371933,0.3925941288471222
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,2005,16,0.5698634564876559,5,1.0,3.4919941425323486,1.6328582763671875,6.110800266265869,7.070859909057617
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,1198,16,0.5698634564876559,5,0.8,1.1373854875564575,0.9770339727401733,1.4380712509155273,1.9776504039764404
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,633,16,0.5698634564876559,5,0.0,-0.17006629705429077,-0.20169854164123535,-0.1536160260438919,0.2604183554649353
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,1188,16,0.5698634564876559,5,0.0,0.02187635935842991,0.0235944464802742,0.0635894387960434,0.24198946356773376
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,833,16,0.5698634564876559,5,0.4,0.69552081823349,0.32772374153137207,0.7514973878860474,1.9524611234664917
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,323,16,0.5698634564876559,5,0.8,1.0368164777755737,0.9952771663665771,1.3764243125915527,1.454268455505371
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,1163,16,0.5698634564876559,5,1.0,5.644123554229736,5.594769477844238,5.666292190551758,6.286524772644043
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,20,16,0.5698634564876559,5,1.0,3.537092685699463,3.434080123901367,4.089868545532227,4.253235816955566
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,1299,16,0.5698634564876559,5,1.0,2.5214285850524902,2.618561267852783,2.6590800285339355,2.7481448650360107
bsae_512_2048_512__Er2_Dr2_k16_ep16_20251130-113058__k16,459,16,0.5698634564876559,5,1.0,1.617517113685608,1.4453250169754028,1.9753682613372803,2.5526838302612305
